,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Date and Time
426,Jieshi,CN,22.82,63.28,92,68,16.44,1546957068
427,Lahad Datu,MY,5.02,76.56,96,0,5.37,1546957068
428,Makakilo City,US,21.35,67.42,87,1,3.36,1546955820
429,Ankara,TR,39.92,28.94,63,75,10.29,1546955400
430,Praxedis Guerrero,MX,31.37,41.88,59,75,10.29,1546955460
431,Nokaneng,BW,-19.66,97.12,31,8,4.7,1546957069
432,Tacuarembo,UY,-31.73,83.04,97,8,4.59,1546957069
433,Tanete,ID,-3.94,75.25,97,24,3.02,1546957070
434,Quang Ngai,VN,15.12,69.4,99,92,2.35,1546957070
435,Gweta,BW,-20.21,87.31,62,0,9.4,1546957070
436,Angoche,MZ,-16.23,83.62,100,48,6.38,1546957070
437,Bumba,CD,2.18,91.0,48,24,3.69,1546957071
438,Clocolan,ZA,-28.91,70.75,77,0,6.71,1546957071
439,Komadi,HU,47.0,23.52,73,90,11.41,1546954200
440,Gisborne,NZ,-38.66,64.23,95,92,6.93,1546956883
441,Shetpe,KZ,44.14,19.45,77,64,3.02,1546957072
442,Belmonte,PT,40.36,49.15,52,0,6.6,1546957072
443,San Pedro del Pinatar,ES,37.84,59.45,59,20,4.7,1546954200
444,Vieques,PR,18.43,80.24,64,40,12.75,1546955760
445,Dorobantu,RO,44.22,22.74,87,0,11.07,1546957073
446,Sunrise Manor,US,36.21,42.58,76,1,9.17,1546955760
447,Novobirilyussy,RU,56.95,16.48,80,92,7.94,1546957074
448,Carballo,ES,43.21,52.66,66,0,3.36,1546954200
449,Remanso,BR,-9.62,84.52,73,64,10.18,1546957074
450,Kinablangan,PH,7.69,80.38,100,56,12.64,1546957074
451,Sitka,US,37.17,40.38,29,0,12.75,1546957075
452,Cortez,US,37.35,10.94,80,1,8.05,1546955580
453,East Hampton,US,41.58,34.5,96,90,5.7,1546955580
454,Teberda,RU,43.44,15.54,84,64,1.12,1546957076
455,Dongsheng,CN,29.72,36.46,100,92,10.4,1546957076
456,Bashtanka,UA,47.4,17.6,78,75,6.71,1546956000
457,Te Anau,NZ,-45.41,40.78,89,20,2.24,1546957076
458,Honningsvag,NO,70.98,26.08,92,40,2.24,1546951800
459,Macia,MZ,-25.03,90.24,58,0,5.59,1546957077
460,Taguatinga,BR,-15.83,80.6,54,40,9.17,1546956000
461,Orange,AU,-33.28,63.01,96,44,4.14,1546956854
462,Mar de Espanha,BR,-21.87,85.96,68,76,7.83,1546957078
463,Port Lincoln,AU,-34.72,62.02,99,92,15.43,1546957078
464,Gobabis,NA,-22.45,93.43,19,0,7.72,1546957078
465,Biak,ID,-0.91,78.67,100,24,3.69,1546957079
466,Voznesenye,RU,61.02,26.2,91,88,7.83,1546957079
467,Baijiantan,CN,45.63,-22.09,32,0,0.56,1546957079
468,Gazojak,TM,41.19,36.1,95,76,10.51,1546957079
469,Gat,SN,14.69,91.4,8,0,11.41,1546956000
470,Sao Joao da Barra,BR,-21.64,89.6,49,0,25.28,1546956000
471,La Ronge,CA,55.1,-4.01,70,75,13.87,1546952400
472,Ormara,PK,25.21,70.08,92,0,8.16,1546957081
473,Antofagasta,CL,-23.65,69.8,68,20,11.41,1546956000
474,Yate,GB,51.54,46.87,81,20,6.93,1546955760
475,San Cristobal,EC,-0.39,59.0,82,75,3.36,1546956000
476,Emmett,US,43.87,29.77,60,90,13.87,1546955760
477,Mangai,CD,-4.07,79.75,89,32,3.13,1546957082
478,Pontianak,ID,-0.02,77.0,88,40,1.57,1546956000
479,Narsaq,GL,60.91,29.17,94,92,1.12,1546957083
480,Xuddur,SO,4.12,86.5,23,0,9.62,1546957083
481,Nefteyugansk,RU,61.09,-2.21,84,75,6.71,1546956000
482,Ribeira Brava,PT,32.65,64.4,59,20,11.41,1546954200
483,Chapais,CA,49.78,8.6,78,90,10.29,1546955340
484,Trinidad,UY,-33.52,82.4,65,20,6.93,1546956000
485,Abu Dhabi,AE,24.47,75.2,69,0,6.93,1546956000
486,Ust-Maya,RU,60.42,-33.43,0,32,2.68,1546957085
487,Cotonou,BJ,6.37,89.6,59,20,6.93,1546952400
488,Skjervoy,NO,70.03,31.19,92,90,12.75,1546955400
489,Port Hardy,CA,50.7,37.4,69,75,26.4,1546952400
490,Sinjai,ID,-5.12,74.04,100,24,2.91,1546957086
491,La Plata,AR,-34.92,84.81,69,20,10.29,1546956000
492,Shimanovsk,RU,52.0,-10.39,52,32,4.92,1546957087
493,Charters Towers,AU,-20.07,73.45,85,68,12.75,1546957087
494,Jackson,US,35.61,58.75,96,75,5.82,1546955760
495,Matara,PE,-13.74,53.6,46,40,8.05,1546956000
496,Hit,IQ,33.64,53.16,65,0,12.64,1546957088
497,Haskovo,BG,41.93,32.0,70,0,3.36,1546954200
498,Frontignan,FR,43.45,51.26,53,0,23.04,1546954200
499,Dubti,ET,11.74,80.65,22,0,4.14,1546957089
500,Thinadhoo,MV,0.53,82.72,100,24,15.1,1546957029
501,San Andres,PH,13.32,79.26,100,24,16.44,1546957045
502,Bourbonnais,US,41.16,38.95,95,40,13.42,1546955700
503,North Vernon,US,39.01,51.12,100,75,4.7,1546955700
504,Pahrump,US,36.21,35.71,85,1,8.05,1546955760
505,Pacific Grove,US,36.62,50.27,86,90,7.27,1546956000
506,Havelock,US,34.88,60.66,100,1,6.93,1546955760
507,Parkes,AU,-33.14,65.76,96,92,1.68,1546957090
508,Broome,GB,52.47,45.39,70,40,17.22,1546955760
509,Berdigestyakh,RU,62.1,-24.52,35,24,3.36,1546957091
510,Udachnyy,RU,66.42,-10.84,68,64,4.25,1546957091
511,Lauingen,DE,48.57,37.76,80,75,19.46,1546955400
512,Sao Jose da Coroa Grande,BR,-8.9,78.36,98,76,5.59,1546957092
513,Moranbah,AU,-22.0,68.91,98,100,13.87,1546957092
514,Mugur-Aksy,RU,50.38,-27.49,33,24,2.35,1546957092
515,Batemans Bay,AU,-35.71,65.4,100,0,3.13,1546957092
516,Kattivakkam,IN,13.22,77.0,73,20,5.82,1546956000
517,Oktyabrskoye,RU,56.73,10.4,85,0,11.18,1546956000
518,Siderno,IT,38.28,51.75,43,20,5.82,1546952100
519,Lata,IN,30.78,34.08,89,88,1.79,1546957093
520,Salta,AR,-24.79,80.6,57,20,5.82,1546956000
521,Isla,MX,18.03,69.31,97,92,5.14,1546957093
522,Nyurba,RU,63.29,-3.55,74,64,3.69,1546957094
523,Tha Bo,TH,17.85,77.16,83,75,4.7,1546956000
524,Coahuayana,MX,18.62,69.22,52,12,2.35,1546957094
525,Khandyga,RU,62.65,-47.42,0,0,2.68,1546957095
526,Dossor,KZ,47.52,11.53,78,68,4.47,1546957095
527,Cehegin,ES,38.09,57.2,47,0,2.24,1546952400
528,Kieta,PG,-6.22,78.22,100,20,3.02,1546957095
529,Sao Miguel do Araguaia,BR,-13.28,86.91,80,0,4.14,1546957096
530,Jumla,NP,29.28,13.29,82,68,1.57,1546957096
531,Bonthe,SL,7.53,92.58,43,44,2.91,1546957096
532,Verkhnyaya Inta,RU,65.99,-8.45,63,0,5.26,1546957096
533,Ardabil,IR,38.25,39.2,41,20,16.11,1546956000
534,Erzin,TR,36.95,42.8,100,75,9.17,1546955400
535,Hailakandi,IN,24.69,56.4,88,0,2.46,1546957097
536,Moree,AU,-29.46,77.0,50,44,12.75,1546956000
537,Ambovombe,MG,-25.18,78.13,97,76,3.36,1546957097
538,Lerwick,GB,60.15,40.1,65,75,23.04,1546955400
539,North Bend,US,43.41,51.08,85,90,11.41,1546955760
540,Dodge City,US,37.75,28.9,65,1,8.05,1546955640
541,Wexford,US,40.63,49.33,68,75,5.82,1546955760
542,Brae,GB,60.4,40.21,64,75,24.16,1546955400
543,Ugoofaaru,MV,5.67,81.78,100,8,15.1,1546957098
544,Wilsonville,US,45.31,42.55,95,90,11.41,1546955580
545,Cooma,AU,-36.24,57.2,100,0,8.05,1546956000
